iter	RMSE
0	14.91991323
1	14.52528861
2	14.14231977
3	13.76211725
4	13.41426408
5	13.1315332
6	12.80573155
7	12.52296194
8	12.27352152
9	11.97488506
10	11.69774725
11	11.44424082
12	11.19423078
13	10.97437722
14	10.72098079
15	10.48121627
16	10.26235445
17	10.03905365
18	9.848406518
19	9.655311005
20	9.482952991
21	9.310540717
22	9.138101591
23	8.967602966
24	8.807329553
25	8.665274292
26	8.513575193
27	8.39438349
28	8.265728923
29	8.136995834
30	8.036283746
31	7.918276321
32	7.809804836
33	7.700027893
34	7.591744933
35	7.490157176
36	7.392452433
37	7.312277106
38	7.220412705
39	7.139690764
40	7.066609762
41	6.996309503
42	6.911804749
43	6.847762714
44	6.783079354
45	6.729025652
46	6.669303587
47	6.609739771
48	6.551051863
49	6.493780587
50	6.442737126
51	6.39986223
52	6.353245964
53	6.306878382
54	6.266830425
55	6.230134344
56	6.193485559
57	6.158427323
58	6.123263716
59	6.088310941
60	6.05682566
61	6.027323283
62	5.992038529
63	5.953988213
64	5.925208122
65	5.892577257
66	5.863063467
67	5.834711175
68	5.816892491
69	5.796452282
70	5.768971294
71	5.748319538
72	5.723766786
73	5.703027721
74	5.683415007
75	5.668359171
76	5.650538334
77	5.633968611
78	5.616271115
79	5.600124806
80	5.582963193
81	5.572507379
82	5.556388205
83	5.538542416
84	5.522145284
85	5.506505924
86	5.491567208
87	5.479802558
88	5.465846714
89	5.454778288
90	5.440351185
91	5.43038891
92	5.420423029
93	5.412863501
94	5.403625611
95	5.389724093
96	5.379479531
97	5.368251082
98	5.356792786
99	5.346542278
100	5.338855062
101	5.3300815
102	5.319888827
103	5.310398745
104	5.304352941
105	5.29589491
106	5.286844115
107	5.278343365
108	5.272465441
109	5.265405576
110	5.264138064
111	5.257551324
112	5.250287664
113	5.243080178
114	5.238742024
115	5.231200499
116	5.223102849
117	5.218272043
118	5.214240632
119	5.20484071
120	5.199057385
121	5.196123165
122	5.190239623
123	5.185956004
124	5.181391668
125	5.176678391
126	5.168201614
127	5.164788719
128	5.160593994
129	5.153747503
130	5.150087889
131	5.145565939
132	5.139275582
133	5.133194787
134	5.12805881
135	5.124669841
136	5.121341488
137	5.118079066
138	5.112450918
139	5.109425675
140	5.106017894
141	5.103399291
142	5.095959259
143	5.090835756
144	5.086280475
145	5.083238008
146	5.07701651
147	5.072941848
148	5.069801051
149	5.063798523
150	5.061211524
151	5.057612354
152	5.053231496
153	5.050592914
154	5.045664553
155	5.039214469
156	5.036791973
157	5.033958581
158	5.029287306
159	5.027550788
160	5.025513364
161	5.023691077
162	5.019357425
163	5.015922128
164	5.012667707
165	5.00655437
166	5.002022597
167	4.99814723
168	4.995295871
169	4.990457844
170	4.987617993
171	4.983726675
172	4.983164065
173	4.976827415
174	4.972386362
175	4.969894061
176	4.96639008
177	4.960333189
178	4.953019651
179	4.949533466
180	4.946450246
181	4.941723937
182	4.940611582
183	4.937221044
184	4.934151692
185	4.92838482
186	4.922638728
187	4.918452447
188	4.914165346
189	4.909281063
190	4.905286888
191	4.903179693
192	4.900094842
193	4.896722754
194	4.893246858
195	4.890371024
196	4.886268032
197	4.882893084
198	4.877269633
199	4.87527846
200	4.872121142
201	4.864541148
202	4.862921426
203	4.860828242
204	4.859654216
205	4.856365654
206	4.853025613
207	4.85060894
208	4.844442574
209	4.840692869
210	4.83725986
211	4.832376316
212	4.828180579
213	4.822685999
214	4.817818295
215	4.811399902
216	4.808633174
217	4.805179518
218	4.803412312
219	4.800860744
220	4.79676129
221	4.788619066
222	4.785576145
223	4.783220977
224	4.780151361
225	4.779518155
226	4.777218207
227	4.775210085
228	4.772305097
229	4.769827032
230	4.766121745
231	4.762740822
232	4.757844672
233	4.754624391
234	4.747282894
235	4.742462113
236	4.735580926
237	4.732719569
238	4.731720101
239	4.726460864
240	4.723749447
241	4.720553062
242	4.720124958
243	4.719023144
244	4.715485491
245	4.712507961
246	4.71201277
247	4.709645047
248	4.708333897
249	4.705037535
250	4.703879254
251	4.703402058
252	4.697475609
253	4.68885398
254	4.681452324
255	4.67221088
256	4.670600437
257	4.668191127
258	4.665372006
259	4.658582889
260	4.656602074
261	4.653770638
262	4.652878075
263	4.651968808
264	4.646464516
265	4.643467077
266	4.640844148
267	4.640317415
268	4.638133121
269	4.636011098
270	4.633247175
271	4.630520525
272	4.628997605
273	4.624006023
274	4.621869558
275	4.619828198
276	4.6189958
277	4.612765755
278	4.612080601
279	4.608519094
280	4.606741898
281	4.606134522
282	4.604423042
283	4.600029475
284	4.595102776
285	4.591508527
286	4.586535131
287	4.581624776
288	4.575544802
289	4.57110173
290	4.568161414
291	4.563406887
292	4.561053904
293	4.555289028
294	4.554712395
295	4.550804164
296	4.54556859
297	4.543894491
298	4.537438389
299	4.533557932
300	4.53228451
301	4.529017996
302	4.525789659
303	4.524900341
304	4.523686709
305	4.522880099
306	4.519803385
307	4.515685429
308	4.512651241
309	4.509671594
310	4.507347657
311	4.502810547
312	4.502344562
313	4.501562177
314	4.496694336
315	4.495231396
316	4.493466156
317	4.490620675
318	4.482172191
319	4.481739944
320	4.47782805
321	4.477408697
322	4.477059178
323	4.473982371
324	4.468931536
325	4.466208503
326	4.461374329
327	4.457827207
328	4.453210495
329	4.447767526
330	4.446918059
331	4.443508096
332	4.443326956
333	4.438543205
334	4.433595952
335	4.429543077
336	4.428285434
337	4.426071389
338	4.42293118
339	4.420796349
340	4.414850587
341	4.412676313
342	4.406998276
343	4.406819123
344	4.40355612
345	4.40060635
346	4.400360566
347	4.39576823
348	4.395560595
349	4.392138198
350	4.390237474
351	4.384693554
352	4.382359872
353	4.380299878
354	4.376848387
355	4.376575338
356	4.373119253
357	4.369761393
358	4.366169979
359	4.362591172
360	4.357425479
361	4.357221421
362	4.349763653
363	4.345631529
364	4.341012767
365	4.339689748
366	4.33843278
367	4.33689492
368	4.336117291
369	4.334141931
370	4.333627369
371	4.330512968
372	4.328715896
373	4.328457058
374	4.325716588
375	4.322322726
376	4.317716743
377	4.31500509
378	4.314029154
379	4.310850188
380	4.305057198
381	4.304692435
382	4.302498049
383	4.300701909
384	4.300178449
385	4.2960219
386	4.294126968
387	4.291109391
388	4.289887929
389	4.289208813
390	4.287916703
391	4.287826624
392	4.285826434
393	4.281762517
394	4.277017207
395	4.275070359
396	4.273945422
397	4.272273591
398	4.266515617
399	4.265237202
400	4.262685058
401	4.261610786
402	4.257108203
403	4.256930616
404	4.254652365
405	4.253780576
406	4.253637254
407	4.249860607
408	4.248671074
409	4.24389776
410	4.24001244
411	4.232117674
412	4.230733798
413	4.224812154
414	4.222105734
415	4.220939444
416	4.218899969
417	4.218788071
418	4.213711674
419	4.208122952
420	4.207465014
421	4.202432451
422	4.199879752
423	4.1979718
424	4.193502781
425	4.192466834
426	4.18837981
427	4.184151302
428	4.178724863
429	4.177247377
430	4.173281391
431	4.171603438
432	4.170657091
433	4.166655218
434	4.164218414
435	4.163433926
436	4.161612376
437	4.158174838
438	4.154959139
439	4.151585651
440	4.148960162
441	4.148769143
442	4.146995061
443	4.144073563
444	4.141397482
445	4.137818134
446	4.137494978
447	4.137146749
448	4.13638559
449	4.135025281
450	4.130672298
451	4.12897077
452	4.126081739
453	4.125975247
454	4.12269247
455	4.117246923
456	4.115287631
457	4.109974075
458	4.109809095
459	4.107709942
460	4.107423355
461	4.105875755
462	4.103338083
463	4.10120884
464	4.099668681
465	4.097550555
466	4.090379321
467	4.087589784
468	4.08742566
469	4.08694964
470	4.083220675
471	4.080531242
472	4.078709812
473	4.077350157
474	4.075231515
475	4.074071143
476	4.071175845
477	4.067323508
478	4.065739706
479	4.062581647
480	4.062528553
481	4.062375404
482	4.058041972
483	4.05781394
484	4.054956355
485	4.053103195
486	4.048509364
487	4.046297103
488	4.043056477
489	4.042911052
490	4.041346367
491	4.038645348
492	4.035111312
493	4.031126831
494	4.030387132
495	4.025006518
496	4.021455481
497	4.019323518
498	4.01771259
499	4.015630303
500	4.012768954
501	4.011543411
502	4.011452086
503	4.008656281
504	4.007318994
505	4.006263192
506	4.003634703
507	4.003464936
508	4.001426057
509	4.000021275
510	3.998719284
511	3.99797925
512	3.995254895
513	3.994890914
514	3.993954759
515	3.98896936
516	3.98815628
517	3.985255443
518	3.980410031
519	3.979120984
520	3.975891794
521	3.973887145
522	3.971171066
523	3.96969524
524	3.967524086
525	3.965829703
526	3.962999446
527	3.960541565
528	3.956848305
529	3.956499023
530	3.956401963
531	3.95448907
532	3.95185002
533	3.950471817
534	3.950314665
535	3.946220486
536	3.945320827
537	3.942766653
538	3.940149759
539	3.936494594
540	3.935259114
541	3.932834926
542	3.929728357
543	3.929483496
544	3.929379285
545	3.925042122
546	3.924925412
547	3.924812241
548	3.923960999
549	3.921163985
550	3.918837942
551	3.918617053
552	3.914984947
553	3.908957635
554	3.907693519
555	3.904700734
556	3.900557588
557	3.896591015
558	3.893536443
559	3.891427628
560	3.890884988
561	3.88785068
562	3.887506899
563	3.886170921
564	3.885991703
565	3.883202785
566	3.881325588
567	3.879760603
568	3.87966075
569	3.879520068
570	3.87598071
571	3.873772785
572	3.87325064
573	3.873023526
574	3.872565632
575	3.87035062
576	3.865776254
577	3.863590167
578	3.86085273
579	3.859825127
580	3.857950557
581	3.856105685
582	3.854695456
583	3.851615061
584	3.849536929
585	3.845190652
586	3.842310922
587	3.841816839
588	3.841615822
589	3.836111389
590	3.8349801
591	3.833714244
592	3.833673648
593	3.831460877
594	3.831323366
595	3.830296728
596	3.829138892
597	3.828804821
598	3.826109952
599	3.821586432
600	3.819708104
601	3.818628845
602	3.817410279
603	3.81464622
604	3.811465753
605	3.80870319
606	3.80381549
607	3.80254597
608	3.800189403
609	3.799055852
610	3.796823238
611	3.793946059
612	3.791511718
613	3.790396839
614	3.78673926
615	3.785962531
616	3.784281568
617	3.784178705
618	3.783764516
619	3.78299522
620	3.782875681
621	3.780288156
622	3.780075364
623	3.777298262
624	3.774359177
625	3.771695628
626	3.768029975
627	3.764944695
628	3.762789868
629	3.761009442
630	3.759633004
631	3.756599466
632	3.756518525
633	3.755622863
634	3.754624793
635	3.752407868
636	3.749676436
637	3.747216956
638	3.744306059
639	3.744061582
640	3.742275004
641	3.738051398
642	3.735888634
643	3.731418288
644	3.727785102
645	3.726037087
646	3.722823767
647	3.720266534
648	3.717125963
649	3.714540853
650	3.711591184
651	3.711212125
652	3.708027979
653	3.704721967
654	3.703029368
655	3.701469058
656	3.699474598
657	3.696394949
658	3.693965381
659	3.692935845
660	3.690881359
661	3.687772571
662	3.684741268
663	3.683452462
664	3.681313692
665	3.679231472
666	3.676526341
667	3.67454971
668	3.671978131
669	3.666392539
670	3.666314717
671	3.664433527
672	3.659589961
673	3.65512137
674	3.653044472
675	3.651528157
676	3.648253502
677	3.645448897
678	3.643414157
679	3.640305764
680	3.637684347
681	3.636179025
682	3.632968498
683	3.630935861
684	3.628354948
685	3.626589359
686	3.62424162
687	3.620467285
688	3.616138306
689	3.615508531
690	3.613034569
691	3.612016769
692	3.608780095
693	3.60866298
694	3.606326012
695	3.60535005
696	3.603305151
697	3.603194096
698	3.600511556
699	3.59892343
700	3.596947989
701	3.595360265
702	3.595180675
703	3.594680227
704	3.592235296
705	3.590012173
706	3.588211875
707	3.587781251
708	3.586805256
709	3.585316914
710	3.583466742
711	3.579123027
712	3.577680959
713	3.575479487
714	3.572553483
715	3.569738023
716	3.567494078
717	3.56580583
718	3.563582247
719	3.561854852
720	3.558289844
721	3.557572384
722	3.555627916
723	3.554277971
724	3.551363111
725	3.549479097
726	3.545731958
727	3.545624102
728	3.545042371
729	3.543162708
730	3.542006161
731	3.540136296
732	3.539304038
733	3.536490403
734	3.534381662
735	3.533648822
736	3.530448413
737	3.527110568
738	3.525021148
739	3.524417354
740	3.523952601
741	3.521304016
742	3.520196034
743	3.517796009
744	3.514683012
745	3.514523983
746	3.51157103
747	3.509386403
748	3.506243354
749	3.504130335
750	3.500590322
751	3.500083405
752	3.498551991
753	3.497811457
754	3.497648809
755	3.494871682
756	3.492432744
757	3.489904648
758	3.488511977
759	3.488418865
760	3.486461335
761	3.485222404
762	3.482229172
763	3.479283696
764	3.479001245
765	3.476622754
766	3.475991652
767	3.472990066
768	3.472803014
769	3.470487148
770	3.470277831
771	3.468063093
772	3.465908707
773	3.465532549
774	3.463443905
775	3.461143134
776	3.459253661
777	3.456355693
778	3.454386346
779	3.453015901
780	3.45127882
781	3.449482539
782	3.448506606
783	3.446536535
784	3.444937715
785	3.442916861
786	3.44078397
787	3.439227305
788	3.436568469
789	3.435558288
790	3.432080042
791	3.429044565
792	3.428906417
793	3.427683201
794	3.423924491
795	3.422857265
796	3.421706583
797	3.420530847
798	3.420250563
799	3.419933607
800	3.419851825
801	3.418888669
802	3.418069253
803	3.417931995
804	3.417775528
805	3.417697845
806	3.416603438
807	3.414802917
808	3.414734389
809	3.414660244
810	3.414301894
811	3.413743439
812	3.412966579
813	3.410106705
814	3.409153474
815	3.40879038
816	3.404008813
817	3.402825278
818	3.40269995
819	3.399998779
820	3.397146384
821	3.397067505
822	3.396927862
823	3.395486128
824	3.393245266
825	3.391936079
826	3.389782548
827	3.387315852
828	3.387212018
829	3.386855741
830	3.383653922
831	3.381318832
832	3.379607558
833	3.377619347
834	3.375456566
835	3.373512559
836	3.371155569
837	3.369597588
838	3.367436534
839	3.3647893
840	3.363050968
841	3.361470755
842	3.360684388
843	3.359798624
844	3.359038705
845	3.358297756
846	3.355315781
847	3.353847618
848	3.353482082
849	3.353233011
850	3.350282358
851	3.348633489
852	3.34839968
853	3.347255604
854	3.345499662
855	3.344317584
856	3.34427173
857	3.343348885
858	3.341000937
859	3.340720975
860	3.340061259
861	3.339085281
862	3.335027481
863	3.334000702
864	3.332165156
865	3.329861517
866	3.328448251
867	3.327925687
868	3.325592727
869	3.323745342
870	3.323692203
871	3.322501539
872	3.318623433
873	3.315683006
874	3.313777229
875	3.313028545
876	3.311786458
877	3.308925196
