iter	Passed	Remaining
0	2	285
1	4	241
2	6	225
3	8	208
4	10	203
5	12	198
6	14	190
7	16	188
8	18	187
9	20	184
10	23	186
11	25	186
12	29	198
13	36	221
14	43	246
15	56	297
16	62	302
17	69	317
18	78	333
19	84	339
20	90	341
21	97	344
22	103	345
23	109	345
24	115	347
25	121	345
26	128	348
27	138	355
28	145	355
29	152	356
30	162	362
31	170	362
32	178	361
33	187	363
34	193	358
35	200	356
36	206	350
37	212	346
38	220	344
39	226	340
40	234	337
41	241	333
42	247	328
43	254	324
44	260	318
45	266	312
46	271	306
47	283	306
48	299	311
49	307	307
50	321	309
51	329	303
52	336	298
53	342	291
54	349	286
55	355	279
56	361	272
57	369	267
58	375	260
59	381	254
60	387	247
61	394	241
62	401	235
63	407	229
64	413	222
65	421	216
66	429	211
67	437	205
68	445	200
69	452	193
70	461	188
71	466	181
72	477	176
73	495	174
74	503	167
75	515	162
76	523	156
77	537	151
78	552	146
79	561	140
80	568	133
81	577	126
82	585	119
83	594	113
84	609	107
85	618	100
86	626	93
87	636	86
88	645	79
89	653	72
90	660	65
91	666	57
92	676	50
93	687	43
94	695	36
95	704	29
96	713	22
97	720	14
98	730	7
99	741	0
