iter	RMSE
0	7587.865732
1	7445.807073
2	7300.103042
3	7161.712741
4	7020.809431
5	6865.949012
6	6754.324545
7	6638.988367
8	6522.096095
9	6433.608668
10	6321.399578
11	6217.437754
12	6103.108068
13	6001.49634
14	5893.848964
15	5782.437685
16	5693.384005
17	5599.706458
18	5504.376288
19	5417.49123
20	5325.98852
21	5237.231384
22	5160.235364
23	5079.637774
24	5008.824153
25	4925.35288
26	4859.405759
27	4776.294842
28	4684.250511
29	4606.936992
30	4543.054775
31	4474.556248
32	4403.870342
33	4322.894645
34	4271.300819
35	4209.834545
36	4140.649159
37	4069.708993
38	3999.019601
39	3946.375469
40	3885.468333
41	3836.014511
42	3769.984013
43	3716.780194
44	3657.359602
45	3610.103857
46	3566.872457
47	3517.958469
48	3468.709818
49	3426.748488
50	3382.782214
51	3336.775364
52	3289.346575
53	3242.601964
54	3197.699296
55	3158.078256
56	3116.222216
57	3073.51111
58	3040.556415
59	3000.578007
60	2963.025501
61	2927.556743
62	2897.90232
63	2861.968509
64	2827.785626
65	2794.076052
66	2765.936394
67	2731.817519
68	2700.026743
69	2671.735953
70	2647.353751
71	2616.294705
72	2587.665521
73	2561.678196
74	2536.381799
75	2509.825699
76	2483.495272
77	2453.708374
78	2425.469394
79	2402.26504
80	2381.215191
81	2359.216531
82	2338.781023
83	2317.925875
84	2298.571755
85	2278.949804
86	2258.925135
87	2240.090145
88	2223.45187
89	2204.471011
90	2182.234816
91	2159.188412
92	2135.349276
93	2115.618583
94	2096.516977
95	2075.401607
96	2059.418692
97	2048.731904
98	2033.447548
99	2016.676683
100	1998.737063
101	1983.038467
102	1969.072687
103	1952.660191
104	1938.328782
105	1926.761404
106	1911.356476
107	1899.607898
108	1887.18284
109	1875.94584
110	1864.741435
111	1856.016089
112	1843.935386
113	1832.925291
114	1822.995905
115	1812.39925
116	1799.393249
117	1789.016755
118	1777.718789
119	1770.847147
120	1760.989932
121	1749.990876
122	1740.74907
123	1730.98718
124	1724.135428
125	1714.512578
126	1703.949196
127	1697.601812
128	1690.337399
129	1682.994954
130	1672.449419
131	1663.325272
132	1654.832357
133	1647.268885
134	1638.779595
135	1633.199273
136	1625.347493
137	1616.64062
138	1608.641249
139	1599.79717
140	1592.262613
141	1584.844581
142	1577.987929
143	1569.439578
144	1560.778059
145	1554.659899
146	1547.055312
147	1539.124365
148	1528.490932
149	1522.064915
150	1515.877901
151	1508.561168
152	1502.87023
153	1494.444318
154	1487.463682
155	1481.43523
156	1476.661303
157	1470.130691
158	1463.163566
159	1457.318181
160	1452.646365
161	1445.279849
162	1435.166114
163	1430.353779
164	1423.125407
165	1419.937647
166	1415.253861
167	1407.864051
168	1401.217876
169	1396.707164
170	1389.6095
171	1384.841709
172	1379.019068
173	1374.807694
174	1370.357878
175	1366.867676
176	1363.191549
177	1361.421356
178	1357.674724
179	1352.94671
180	1348.742553
181	1344.18167
182	1337.584581
183	1331.942678
184	1327.854594
185	1322.802111
186	1317.40464
187	1312.068863
188	1307.686893
189	1303.325589
190	1298.705998
191	1296.632521
192	1290.861224
193	1285.513739
194	1277.379928
195	1271.459209
196	1266.821044
197	1261.511634
198	1256.529443
199	1252.300193
200	1245.132308
201	1242.272284
202	1239.622431
203	1236.113051
204	1231.547042
205	1228.230895
206	1223.634855
207	1220.932408
208	1216.788416
209	1211.667588
210	1209.529507
211	1205.057467
212	1199.743663
213	1195.546783
214	1190.660727
215	1185.507416
216	1181.718828
217	1176.990643
218	1172.888919
219	1169.091208
220	1165.412207
221	1160.847366
222	1158.561377
223	1156.397034
224	1153.45814
225	1151.503257
226	1147.925205
227	1145.929922
228	1142.134446
229	1139.301256
230	1133.351023
231	1129.275214
232	1126.850031
233	1125.056795
234	1122.593354
235	1120.808211
236	1118.36405
237	1115.238109
238	1113.255416
239	1107.909588
240	1102.802286
241	1098.15625
242	1093.266247
243	1091.149901
244	1086.976899
245	1085.362929
246	1081.705092
247	1077.981977
248	1074.575049
249	1072.473328
250	1070.839271
251	1069.286288
252	1067.692811
253	1064.517672
254	1061.441788
255	1058.597227
256	1055.188743
257	1049.542691
258	1047.628465
259	1046.320763
260	1044.411143
261	1042.79092
262	1039.696401
263	1033.090621
264	1029.469612
265	1027.659176
266	1023.306518
267	1021.518936
268	1017.849655
269	1016.525659
270	1015.099108
271	1008.815189
272	1007.420272
273	1003.572916
274	1000.267316
275	996.951647
276	993.3692765
277	986.6837526
278	985.3485003
279	981.1665934
280	977.5431286
281	975.0890372
282	970.2523779
283	968.8888668
284	965.4977401
285	964.3342964
286	963.009928
287	956.8138745
288	955.6827466
289	950.3322785
290	949.2230594
291	946.988595
292	945.9084049
293	944.7150952
294	943.6628272
295	940.4778719
296	937.0908667
297	932.0212678
298	930.9961136
299	929.9006028
300	925.1361604
301	923.9828765
302	921.7784713
303	920.7332142
304	919.522921
305	913.3619345
306	912.3510855
307	910.0223762
308	905.8640121
309	902.144081
310	897.3164254
311	894.8574297
312	890.1530863
313	889.1864308
314	886.9813456
315	883.1090301
316	880.4713261
317	879.4759667
318	878.5895498
319	877.671906
320	875.2340048
321	874.2958268
322	869.2797698
323	868.3104473
324	863.8846418
325	859.7759364
326	857.5953188
327	856.6515469
328	855.7603164
329	854.8457055
330	850.6443206
331	848.6021256
332	846.3551229
333	845.4574357
334	844.5777715
335	838.9172342
336	838.0487111
337	835.0876084
338	830.9954071
339	830.1464238
340	828.1469389
341	827.3314297
342	826.5255757
343	825.7120119
344	823.7751409
345	819.6817818
346	818.7475631
347	817.9943202
348	817.2370346
349	816.4887556
350	813.1414041
351	808.8813617
352	808.1389679
353	807.1309436
354	803.6549504
355	800.7488532
356	797.0759512
357	796.0972892
358	795.3767211
359	794.0781091
360	793.3520572
361	792.636436
362	791.9467918
363	790.8517298
364	787.96909
365	786.6867347
366	785.995983
367	785.1031662
368	784.4262017
369	781.5876381
370	779.337197
371	776.7757751
372	775.8354368
373	774.8422935
374	772.8063051
375	769.0336159
376	768.3661405
377	767.7205384
378	767.0576489
379	766.4050128
380	764.3464083
381	760.9774514
382	760.1402637
383	759.2211849
384	755.8292495
385	754.0173849
386	750.9045172
387	750.2635846
388	749.3140478
389	748.6817342
390	747.0056621
391	746.3658155
392	743.1105886
393	740.9558731
394	738.4802817
395	737.878063
396	737.2844964
397	735.5439788
398	732.8290076
399	730.111927
400	726.80402
401	726.0375722
402	724.5287483
403	723.9530162
404	721.2623743
405	719.2288322
406	718.6593846
407	715.9124423
408	715.0767638
409	714.4848702
410	713.894281
411	713.2665098
412	710.2425336
413	707.7594065
414	705.0331528
415	703.0972929
416	702.2709377
417	701.590878
418	699.429427
419	696.5753246
420	695.5245352
421	693.1505783
422	691.391424
423	690.5630629
424	688.0900786
425	687.3494913
426	686.8071835
427	684.0276643
428	681.7738331
429	679.647458
430	679.1578424
431	677.3899766
432	676.6467981
433	675.0782712
434	673.7283613
435	671.3498275
436	670.5870504
437	669.9535025
438	669.4401357
439	668.9360995
440	667.6415214
441	664.9113318
442	662.9312161
443	661.88862
444	661.3139718
445	660.7459764
446	659.3270959
447	658.6239872
448	658.0558104
449	657.4367948
450	655.8429684
451	655.3346699
452	653.7337899
453	653.2299077
454	652.6044348
455	650.7749499
456	649.9717417
457	648.0104076
458	646.1008377
459	645.5758464
460	645.0892861
461	642.6608373
462	639.7389565
463	639.1850458
464	637.4818015
465	636.3558803
466	635.8816032
467	634.6187825
468	632.8215077
469	632.1749352
470	631.6756415
471	629.9990456
472	629.5627979
473	627.9789367
474	627.4357143
475	626.8971151
476	626.1839263
477	624.4639454
478	623.0209205
479	621.244855
480	619.6997996
481	619.1378565
482	616.9868314
483	616.0905162
484	615.5569433
485	615.065996
486	613.4245904
487	612.8973781
488	611.3813915
489	610.9682303
490	610.3982868
491	609.6665385
492	608.0015087
493	607.6121034
494	607.2079476
495	605.5132971
496	603.7392597
497	603.3355783
498	602.9132305
499	602.4778846
500	602.0708332
501	601.6702712
502	601.172379
503	600.8019417
504	599.0316572
505	597.6853919
506	596.9762227
507	596.3032885
508	595.0855798
509	594.5917723
510	592.9918105
511	591.2464062
512	589.0949712
513	588.6899182
514	588.2292663
515	587.8435334
516	587.4174329
517	586.9586187
518	585.8232841
519	583.809426
520	582.2074523
521	581.5186292
522	580.1784175
523	578.443973
524	577.9924252
525	577.5605787
526	577.0961275
527	576.7317737
528	575.2910798
529	574.9473062
530	573.1216319
531	572.0584184
532	571.0115116
533	570.4693965
534	569.5320798
535	568.9614367
536	568.5888699
537	566.5874396
538	565.8985199
539	565.4793189
540	565.0788076
541	564.0192055
542	562.7627647
543	562.1748881
544	561.7900349
545	560.6186194
546	558.8378753
547	558.4887733
548	557.9375597
549	557.568166
550	557.1479761
551	556.7117033
552	556.2189923
553	555.8575181
554	554.1421229
555	551.6064574
556	551.0767394
557	550.7372255
558	550.3235043
559	550.0093024
560	549.054858
561	548.6462498
562	548.3177742
563	547.9581575
564	547.6391982
565	546.4592401
566	545.3528392
567	544.8456766
568	543.9331503
569	543.3930263
570	542.9873505
571	541.1512399
572	540.8146625
573	540.493097
574	540.1096488
575	539.7930098
576	539.4848237
577	539.0986749
578	538.533703
579	538.1014358
580	537.7605622
581	537.4477092
582	536.2649295
583	535.4432582
584	535.0141728
585	534.7220773
586	534.1760153
587	532.3033015
588	531.8868657
589	531.4218597
590	530.13964
591	529.8333908
592	529.5612297
593	529.0960717
594	528.193703
595	527.8811463
596	526.5048023
597	526.051309
598	525.6627596
599	525.3964712
600	525.123758
601	524.823551
602	524.5192041
603	523.9086432
604	523.551528
605	522.5258124
606	522.2335651
607	521.8230955
608	520.0979486
609	519.6860234
610	518.4547825
611	518.101846
612	517.7045801
613	516.5608509
614	516.1166395
615	515.8250266
616	514.890583
617	514.0709771
618	513.1174796
619	512.867699
620	512.5547232
621	512.143919
622	510.009999
623	509.7165565
624	509.4380944
625	509.1616771
626	508.7491483
627	508.3735748
628	507.5769721
629	507.2538449
630	507.0023711
631	506.57023
632	506.2665114
633	505.9976001
634	504.9462097
635	504.6725441
636	504.4277615
637	503.0878525
638	502.8221894
639	502.5143339
640	502.2311202
641	501.6176887
642	501.3753174
643	500.9221401
644	500.580566
645	500.3440802
646	500.0049117
647	498.2680274
648	498.009708
649	497.759745
650	497.0229309
651	496.7416056
652	496.4767245
653	496.2146327
654	495.9136375
655	495.6664327
656	495.4019006
657	494.6773313
658	493.3787606
659	493.038291
660	492.6006693
661	492.3184101
662	490.7813116
663	490.5051744
664	490.2096013
665	489.621903
666	489.230008
667	488.2447254
668	488.0134364
669	487.7351206
670	487.3899799
671	485.5779826
672	485.3186164
673	484.9662903
674	484.7151938
675	484.4765523
676	484.1941853
677	483.9536248
678	483.5565185
679	483.2874442
680	483.0155849
681	482.7498284
682	482.5149345
683	482.2965404
684	480.7161757
685	480.475238
686	479.3341625
687	479.0848153
688	478.727654
689	478.3344442
690	478.1015618
691	477.8688684
692	477.6076295
693	477.3465242
694	476.281924
695	476.0494551
696	474.9533003
697	474.2141334
698	473.9477736
699	472.537312
700	472.2910104
701	471.0480308
702	470.6699809
703	470.3875113
704	470.1499382
705	467.8957245
706	467.587466
707	467.1800483
708	466.511225
709	465.0123934
710	464.7815679
711	464.5752543
712	464.3076029
713	462.498679
714	462.2443052
715	461.9115273
716	461.0885655
717	460.8526307
718	460.1126426
719	459.8463623
720	458.864269
721	458.5812699
722	458.2164418
723	456.2096194
724	455.9638136
725	455.1542421
726	454.9233003
727	454.5911677
728	453.6785738
729	453.4587298
730	451.5679355
731	451.3286741
732	451.0956167
733	450.8885746
734	450.6908886
735	449.6147471
736	449.399218
737	447.9854623
738	447.71077
739	447.3359479
740	446.5839265
741	446.3690603
742	445.3306842
743	444.5508517
744	442.8401274
745	442.5772141
746	440.5082843
747	439.9487366
748	439.7385822
749	438.7249147
750	438.4800149
751	438.2409355
752	437.8691854
753	437.6399605
754	437.3980221
755	436.1895893
756	435.9541857
757	435.6588139
758	434.4451562
759	434.2465789
760	434.0302062
761	433.808998
762	433.5860622
763	433.3675043
764	432.4049227
765	431.6134808
766	430.8303674
767	430.6021632
768	430.3708871
769	430.1575842
770	429.8294698
771	429.6152986
772	429.2648612
773	428.4173743
774	428.1391297
775	427.6997538
776	427.4304385
777	427.2005602
778	426.9742181
779	426.6842711
780	426.4159484
781	425.4006373
782	425.1619773
783	424.9632254
784	424.6843043
785	423.0329205
786	422.7721888
787	422.0738314
788	420.7558992
789	420.5700093
790	420.3504669
791	420.0767965
792	419.8479498
793	418.4598207
794	416.8602897
795	416.6143215
796	416.3916589
797	416.1689415
798	415.9062306
799	415.4667676
800	415.2720753
801	415.0673406
802	414.864748
803	414.3890927
804	414.2010369
805	413.9245674
806	412.9656146
807	412.7641349
808	412.5504124
809	412.3132604
810	412.1010479
811	411.92343
812	411.7185462
813	411.3810287
814	411.1707141
815	410.242954
816	410.0229375
817	409.8206588
818	409.6109983
819	408.8289328
820	408.6278056
821	408.3397871
822	407.6881577
823	407.4966479
824	407.2896245
825	406.8043828
826	405.6976684
827	405.5085916
828	404.2632341
829	403.5962715
830	403.4076065
831	403.2201704
832	403.0096929
833	402.0926812
834	401.8495466
835	401.6416822
836	401.4688343
837	400.61192
838	400.4364435
839	399.8591834
840	399.6718003
841	398.3115963
842	398.1068799
843	396.957213
844	396.7490407
845	396.543108
846	395.1473486
847	394.9628693
848	394.7828171
849	394.5913134
850	394.350076
851	393.378453
852	393.1733583
853	392.7923909
854	392.5930706
855	392.3968849
856	392.0962089
857	391.8630031
858	391.6686795
859	390.6226659
860	390.4244934
861	390.2649438
862	390.0768834
863	389.2665788
864	389.0080686
865	388.321814
866	388.1489033
867	387.383822
868	386.7687267
869	385.9695291
870	385.7892967
871	385.5962673
872	384.6392057
873	384.3974215
874	384.2178712
875	383.2496633
876	383.0614217
877	382.8747994
878	381.7641639
879	381.6060802
880	381.3849854
881	380.627982
882	380.139415
883	379.9483994
884	379.4673867
885	379.0313621
886	378.8425656
887	378.6746497
888	378.3860879
889	378.1974075
890	378.0090754
891	377.8306117
892	377.4644257
893	377.3023382
894	377.12546
895	376.90064
896	376.7180369
897	376.0445507
898	375.8561239
899	375.6265027
900	375.4582314
901	374.5759721
902	373.6279657
903	373.4619513
904	373.2824993
905	372.1965592
906	372.0479081
907	371.3365369
908	370.2094537
909	370.0433477
910	369.7037754
911	369.3098644
912	369.1451552
913	368.9974577
914	368.76497
915	368.5530697
916	368.3126889
917	367.1446451
918	366.3304214
919	365.7145307
920	365.5511335
921	365.3709178
922	364.6726421
923	364.4515167
924	364.2403893
925	364.0488113
926	363.8914125
927	363.7145437
928	363.5349082
929	363.3789009
930	363.2123229
931	363.0563738
932	362.9058552
933	362.7538516
934	362.6060459
935	361.5949977
936	360.6415817
937	360.4117783
938	360.2377569
939	359.3927278
940	359.2351241
941	358.622103
942	358.4009842
943	358.2524881
944	358.0984336
945	357.9263072
946	357.2688957
947	357.0968342
948	356.665428
949	356.4041144
950	356.2077085
951	356.0373878
952	355.8773974
953	355.704326
954	355.2835075
955	355.1263198
956	354.9289615
957	354.7967969
958	354.6433141
959	354.4534267
960	354.2381297
961	354.0950119
962	353.3092579
963	353.1539524
964	353.0000432
965	352.8063087
966	352.6497179
967	352.4975051
968	352.0631274
969	351.8481161
970	351.7101009
971	350.7290351
972	350.3084866
973	349.0010143
974	348.4177271
975	348.2616547
976	348.1066223
977	347.9076495
978	347.6745554
979	347.4479552
980	346.6636462
981	346.4999219
982	345.4343516
983	345.2844884
984	345.124419
985	344.615972
986	344.5132052
987	343.7534465
988	343.5530048
989	343.4056379
990	343.2721859
991	343.1130448
992	342.982716
993	341.9359375
994	341.7050997
995	341.1207543
996	340.6095463
997	340.4661198
998	339.4553278
999	338.792846
