iter	Passed	Remaining
0	113	113424
1	162	81334
2	176	58709
3	188	47031
4	197	39316
5	209	34641
6	217	30858
7	228	28311
8	260	28672
9	269	26707
10	296	26638
11	326	26843
12	340	25874
13	356	25117
14	377	24781
15	405	24927
16	429	24816
17	447	24407
18	460	23780
19	485	23788
20	527	24602
21	548	24388
22	559	23782
23	571	23249
24	579	22596
25	587	22005
26	680	24535
27	707	24561
28	774	25934
29	796	25756
30	810	25345
31	872	26378
32	896	26284
33	976	27745
34	991	27344
35	1044	27976
36	1058	27553
37	1069	27080
38	1078	26580
39	1117	26830
40	1135	26548
41	1151	26262
42	1188	26451
43	1202	26123
44	1211	25719
45	1222	25347
46	1230	24958
47	1244	24690
48	1259	24452
49	1266	24072
50	1274	23720
51	1284	23413
52	1291	23081
53	1298	22744
54	1323	22748
55	1346	22703
56	1359	22493
57	1373	22306
58	1387	22122
59	1393	21833
60	1408	21680
61	1416	21428
62	1422	21154
63	1434	20981
64	1450	20858
65	1465	20737
66	1481	20625
67	1489	20414
68	1496	20191
69	1505	20007
70	1513	19800
71	1520	19595
72	1528	19413
73	1535	19208
74	1541	19009
75	1551	18864
76	1559	18687
77	1567	18529
78	1578	18403
79	1591	18307
80	1614	18312
81	1627	18216
82	1647	18199
83	1669	18203
84	1679	18081
85	1689	17959
86	1696	17800
87	1705	17671
88	1715	17556
89	1720	17396
90	1726	17242
91	1735	17133
92	1741	16984
93	1788	17236
94	1811	17258
95	1818	17125
96	1824	16982
97	1833	16873
98	1843	16774
99	1855	16702
100	1862	16579
101	1872	16482
102	1886	16429
103	1893	16314
104	1901	16206
105	1910	16114
106	1922	16044
107	1936	15997
108	1943	15884
109	1951	15790
110	1956	15671
111	1962	15561
112	1969	15461
113	1977	15370
114	1980	15241
115	1986	15142
116	1992	15041
117	2002	14970
118	2009	14875
119	2015	14779
120	2022	14690
121	2053	14777
122	2076	14805
123	2091	14778
124	2152	15065
125	2160	14984
126	2177	14966
127	2185	14886
128	2192	14802
129	2214	14819
130	2229	14787
131	2238	14720
132	2249	14667
133	2259	14599
134	2268	14537
135	2280	14485
136	2288	14413
137	2306	14405
138	2312	14321
139	2324	14282
140	2334	14221
141	2344	14168
142	2356	14124
143	2370	14092
144	2385	14067
145	2398	14030
146	2406	13966
147	2426	13966
148	2432	13895
149	2457	13924
150	2483	13964
151	2495	13919
152	2522	13966
153	2535	13931
154	2546	13880
155	2554	13822
156	2573	13816
157	2592	13814
158	2627	13897
159	2662	13978
160	2674	13938
161	2701	13976
162	2732	14032
163	2757	14055
164	2766	14002
165	2772	13930
166	2781	13874
167	2793	13833
168	2821	13875
169	2842	13875
170	2853	13833
171	2868	13807
172	2879	13766
173	2890	13721
174	2904	13692
175	2912	13634
176	2918	13570
177	2920	13486
178	2932	13451
179	2938	13387
180	2943	13319
181	2958	13298
182	2964	13235
183	2970	13173
184	2980	13130
185	2985	13064
186	2990	13003
187	3000	12960
188	3009	12913
189	3014	12851
190	3029	12831
191	3036	12777
192	3041	12716
193	3051	12679
194	3058	12625
195	3064	12571
